OrderID,Date,Year,Month,Quarter,DayOfWeek,Category,Product,Region,CustomerSegment,PaymentMethod,UnitPrice,Quantity,Discount,TotalSales,Profit,ProfitMargin
ORD10000,2022-01-01,2022,1,Q1,Saturday,Clothing,T-Shirt,South,New,Net Banking,414.34,5,0.0,2071.7,335.62,0.162
ORD10001,2022-01-01,2022,1,Q1,Saturday,Food & Beverages,Coffee,North,Regular,Cash,224.39,5,0.05,1065.85,166.27,0.156
ORD10002,2022-01-01,2022,1,Q1,Saturday,Food & Beverages,Snacks,North,Regular,UPI,63.32,3,0.2,151.97,34.35,0.226
ORD10003,2022-01-01,2022,1,Q1,Saturday,Home & Garden,Table Lamp,Central,New,Credit Card,986.08,3,0.05,2810.33,351.29,0.125
ORD10004,2022-01-01,2022,1,Q1,Saturday,Food & Beverages,Juice,Central,New,Credit Card,55.79,4,0.2,178.53,59.99,0.336
ORD10005,2022-01-02,2022,1,Q1,Sunday,Clothing,Jeans,West,New,Credit Card,1147.7,4,0.1,4131.72,669.34,0.162
ORD10006,2022-01-02,2022,1,Q1,Sunday,Electronics,Smartphone,East,Premium,Cash,24501.64,5,0.1,110257.38,24146.37,0.219
ORD10007,2022-01-02,2022,1,Q1,Sunday,Home & Garden,Table Lamp,East,New,UPI,977.41,3,0.0,2932.23,621.63,0.212
ORD10008,2022-01-02,2022,1,Q1,Sunday,Food & Beverages,Snacks,Central,Premium,Credit Card,61.83,4,0.0,247.32,50.45,0.204
ORD10009,2022-01-03,2022,1,Q1,Monday,Food & Beverages,Juice,North,New,UPI,50.55,3,0.2,121.32,25.23,0.208
ORD10010,2022-01-03,2022,1,Q1,Monday,Clothing,Jeans,West,New,Debit Card,1398.22,1,0.0,1398.22,183.17,0.131
ORD10011,2022-01-03,2022,1,Q1,Monday,Electronics,Tablet,Central,New,Debit Card,19102.22,5,0.1,85959.99,19255.04,0.224
ORD10012,2022-01-03,2022,1,Q1,Monday,Home & Garden,Table Lamp,South,Premium,UPI,920.71,1,0.1,828.64,283.39,0.342
ORD10013,2022-01-03,2022,1,Q1,Monday,Sports,Running Shoes,Central,Regular,Debit Card,2707.28,1,0.05,2571.92,318.92,0.124
ORD10014,2022-01-04,2022,1,Q1,Tuesday,Clothing,Shoes,South,Regular,UPI,1769.35,4,0.1,6369.66,1407.69,0.221
ORD10015,2022-01-04,2022,1,Q1,Tuesday,Sports,Dumbbells,South,New,Net Banking,1964.37,5,0.05,9330.76,2911.2,0.312
ORD10016,2022-01-04,2022,1,Q1,Tuesday,Clothing,Jacket,Central,New,Credit Card,1986.18,1,0.0,1986.18,357.51,0.18
ORD10017,2022-01-05,2022,1,Q1,Wednesday,Clothing,Jacket,South,New,Credit Card,2194.07,2,0.2,3510.51,765.29,0.218
ORD10018,2022-01-05,2022,1,Q1,Wednesday,Food & Beverages,Juice,East,Premium,UPI,48.02,4,0.05,182.48,29.74,0.163
ORD10019,2022-01-06,2022,1,Q1,Thursday,Clothing,Jeans,South,Regular,Credit Card,1394.74,2,0.0,2789.48,622.05,0.223
ORD10020,2022-01-06,2022,1,Q1,Thursday,Sports,Resistance Band,Central,New,Net Banking,374.48,4,0.0,1497.92,386.46,0.258
ORD10021,2022-01-06,2022,1,Q1,Thursday,Clothing,Shoes,South,New,Credit Card,2027.78,4,0.0,8111.12,1054.45,0.13
ORD10022,2022-01-06,2022,1,Q1,Thursday,Food & Beverages,Coffee,West,Regular,Net Banking,205.08,5,0.15,871.59,158.63,0.182
ORD10023,2022-01-06,2022,1,Q1,Thursday,Sports,Water Bottle,East,Regular,Cash,317.06,2,0.15,539.0,184.34,0.342
ORD10024,2022-01-06,2022,1,Q1,Thursday,Home & Garden,Pillow,South,Regular,Debit Card,347.28,5,0.0,1736.4,263.93,0.152
